kind,param,n,nnz,rho_A,rho_B,t_gustavson_ms,t_stateless_ms,t_stateless_gallop_ms,t_guarded_ms,t_guarded_gallop_ms,ratio_stateless_over_guarded,ratio_stateless_over_guarded_gallop,bound_1_plus_rhoB_over_rhoA,rewind_rate,correct_guarded_gallop
beta,0,4096,163840,40,40,123.361,3631.51,4238.01,3826.43,4362.88,0.94906,0.832366,2,0.999756,1
beta,0.3,4096,163840,40,40,119.264,3217.24,3680.48,3314.82,3793.35,0.97056,0.848125,2,0.999756,1
beta,0.6,4096,163840,40,40,110.73,2401.36,2697.01,2510.03,2786.7,0.956707,0.861722,2,0.999756,1
beta,0.9,4096,163840,40,40,81.8699,1367.67,976.904,1292.03,1017.66,1.05854,1.34394,2,0.936731,1
beta,0.95,4096,163840,40,40,69.6248,1053.51,497.343,932.683,508.96,1.12955,2.06994,2,0.789906,1
band,16,4096,65416,15.9707,15.9707,1.29388,250.762,57.4145,119.652,35.4368,2.09576,7.07632,2,0.0072965,1
band,32,4096,130576,31.8789,31.8789,3.78083,511.44,65.8681,234.343,44.8267,2.18244,11.4093,2,0.0150203,1
band,64,4096,260128,63.5078,63.5078,12.7493,963.654,86.1978,438.902,60.8065,2.1956,15.8479,2,0.0302848,1
band,128,4096,516160,126.016,126.016,49.8413,1828.92,143.7,809.894,117.237,2.25823,15.6003,2,0.0600814,1
band,256,4096,1015936,248.031,248.031,179.871,3535.16,332.521,1525.65,295.092,2.31715,11.9798,2,0.116745,1
band,512,4096,1966336,480.062,480.062,638.953,6852.52,970.707,2937.09,957.335,2.3331,7.15791,2,0.218353,1
