kind,param,n,nnz,rho_A,rho_B,t_gustavson_ms,t_stateless_ms,t_stateless_gallop_ms,t_guarded_ms,t_guarded_gallop_ms,ratio_stateless_over_guarded,ratio_stateless_over_guarded_gallop,bound_1_plus_rhoB_over_rhoA,rewind_rate,correct_guarded_gallop
beta,0,2048,40960,20,20,14.7369,441.714,515.366,469.627,541.03,0.940564,0.816431,2,0.999512,1
beta,0,2048,40960,20,20,14.4458,436.396,514.454,469.25,546.016,0.929985,0.799236,2,0.999512,1
beta,0,2048,40960,20,20,14.2982,437.656,513.205,467.817,545.41,0.93553,0.802436,2,0.999512,1
beta,0.3,2048,40960,20,20,14.0393,388.289,442.296,407.658,467.004,0.952486,0.831447,2,0.999511,1
beta,0.3,2048,40960,20,20,14.0563,386.204,442.708,409.189,468.426,0.943827,0.82447,2,0.999511,1
beta,0.3,2048,40960,20,20,13.7687,379.858,438.201,407.997,464.282,0.931031,0.818162,2,0.999511,1
beta,0.6,2048,40960,20,20,12.9484,295.272,318.223,308.216,337.325,0.958003,0.875335,2,0.997724,1
beta,0.6,2048,40960,20,20,13.2563,289.835,316.73,306.237,335.548,0.946443,0.863768,2,0.9956,1
beta,0.6,2048,40960,20,20,13.109,295.566,318.038,304.115,335.724,0.97189,0.880385,2,0.997449,1
beta,0.9,2048,40960,20,20,9.78037,155.123,99.7076,139.296,102.129,1.11362,1.5189,2,0.749184,1
beta,0.9,2048,40960,20,20,9.76808,153.149,99.2964,137.656,101.367,1.11255,1.51083,2,0.757173,1
beta,0.9,2048,40960,20,20,9.92767,153.838,99.4866,138.518,101.241,1.1106,1.51952,2,0.768888,1
beta,0.95,2048,40960,20,20,8.46979,114.367,50.4208,99.413,51.131,1.15042,2.23674,2,0.628533,1
beta,0.95,2048,40960,20,20,8.47775,112.69,49.46,96.9575,50.9629,1.16226,2.21121,2,0.623563,1
beta,0.95,2048,40960,20,20,8.65017,111.9,48.8779,98.992,49.4961,1.13039,2.26078,2,0.632305,1
band,16,2048,32648,15.9414,15.9414,0.59575,60.796,14.7604,29.4375,10.1784,2.06526,5.97306,2,0.0145376,1
band,32,2048,65040,31.7578,31.7578,1.88204,123.766,17.9236,52.7354,12.9012,2.34693,9.59341,2,0.0298078,1
band,64,2048,129056,63.0156,63.0156,6.22579,238.762,25.2794,107.408,20.2995,2.22295,11.762,2,0.0596159,1
band,128,2048,254016,124.031,124.031,24.1978,453.883,48.5306,196.843,41.4892,2.30582,10.9398,2,0.116302,1
band,256,2048,491648,240.062,240.062,84.2465,863.891,129.897,371.928,122.105,2.32274,7.07498,2,0.217956,1
band,512,2048,917760,448.125,448.125,273.086,1639.98,383.173,682.779,395.012,2.40192,4.15171,2,0.374389,1
