graph,ordering,n,nnz,avg_deg,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,120676,74.5055,40.0631,40.4517,48.6701,34.3216,37.7192,0.301332,0.0970578,13.9657,24.6432,4,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,120676,70.0357,32.204,31.1036,37.4302,30.2897,32.5558,0.340451,0.0632263,11.2376,22.3686,4,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,120676,74.5114,45.3675,45.823,56.7999,35.3453,37.4234,0.442078,0.0970578,19.3827,23.9332,4,1
data/email-Enron.txt,natural,36692,367662,10.0202,727044,62.9855,57.0894,56.4952,58.9875,14.4532,16.4297,0.806213,0.761098,56.8875,15.409,4,1
data/email-Enron.txt,rcm,36692,367662,10.0202,727044,90.6775,71.7028,58.5777,61.6825,14.2601,16.3491,0.846669,0.760282,49.2036,15.4015,4,1
data/email-Enron.txt,degree,36692,367662,10.0202,727044,90.1143,72.8867,64.396,66.2884,14.0161,16.3502,0.865289,0.761098,63.0222,15.0975,4,1
gen:band:20000:16,natural,20000,639728,31.9864,2398640,10.431,7.11658,6.06871,7.26696,3.77158,4.3085,0.937477,0.875047,2.12517,2.68833,4,1
gen:band:20000:16,rcm,20000,639728,31.9864,2398640,10.4442,7.11792,6.07637,7.46425,3.95625,4.45383,0.937477,0.875047,2.16496,2.52954,4,1
gen:band:20000:16,degree,20000,639728,31.9864,2398640,10.4603,7.23246,6.19025,7.50946,3.81183,4.30412,0.93748,0.875047,2.17787,2.5505,4,1
gen:ba:20000:8,natural,20000,319032,15.9516,9894,22.977,23.027,23.2933,24.7963,5.86263,7.32388,0.874627,0.767393,21.386,2.84879,4,1
gen:ba:20000:8,rcm,20000,319032,15.9516,9894,22.2281,25.2653,22.093,23.9033,6.08204,7.56937,0.890356,0.765777,7.41087,2.83062,4,1
gen:ba:20000:8,degree,20000,319032,15.9516,9894,22.4608,25.647,23.7033,25.3325,6.35663,7.80987,0.907664,0.767393,12.1055,2.81525,4,1
