graph,ordering,n,nnz,avg_deg,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,120676,800.494,453.826,501.962,637.149,579.206,746.702,0.301332,0.0970578,374.56,623.995,2,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,120676,988.653,424.154,478.241,623.55,567.027,753.393,0.340425,0.0632417,388.06,638.621,2,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,120676,1204.26,572.454,617.496,803.966,583.569,748.843,0.442078,0.0970578,493.065,619.9,2,1
data/email-Enron.txt,natural,36692,367662,10.0202,727044,1213.34,542.348,391.057,418.701,108.391,119.697,0.806213,0.761098,414.255,116.534,2,1
data/email-Enron.txt,rcm,36692,367662,10.0202,727044,1248.03,696.408,397.307,416.449,107.95,120.268,0.848334,0.760265,396.497,117.82,2,1
data/email-Enron.txt,degree,36692,367662,10.0202,727044,1363.21,747.412,465.213,488.643,108.203,119.752,0.865289,0.761098,480.486,116.657,2,1
gen:band:20000:16,natural,20000,639728,31.9864,2398640,310.071,165.227,164.404,179.757,88.4433,105.787,0.937477,0.875047,90.6327,62.548,2,1
gen:band:20000:16,rcm,20000,639728,31.9864,2398640,310.153,165.297,164.908,179.759,89.1498,105.607,0.937477,0.875047,90.6285,62.5359,2,1
gen:band:20000:16,degree,20000,639728,31.9864,2398640,309.557,164.499,163.874,179.666,88.4599,105.607,0.93748,0.875047,90.6894,62.6023,2,1
gen:ba:20000:8,natural,20000,319124,15.9562,9814,559.913,226.067,213.27,236.4,57.6024,69.7628,0.874663,0.761478,229.159,45.1729,2,1
gen:ba:20000:8,rcm,20000,319124,15.9562,9814,520.571,225.254,184.758,203.095,57.709,69.5016,0.890481,0.759431,114.478,45.0419,2,1
gen:ba:20000:8,degree,20000,319124,15.9562,9814,557.006,234.745,205.907,221.614,57.5015,70.0198,0.907484,0.761478,144.989,44.9789,2,1
