kind,param,n,nnz,rho_A,rho_B,fingerprint_A,fingerprint_B,t_gustavson_ms,t_stateless_ms,t_stateless_gallop_ms,t_guarded_ms,t_guarded_gallop_ms,ratio_stateless_over_guarded,ratio_stateless_over_guarded_gallop,bound_1_plus_rhoB_over_rhoA,rewind_rate,correct_guarded_gallop
beta,0,4096,163840,40,40,c7716387ddf7010c,ac9c03761245880e,121.185,3637.61,4143.14,3771.44,4259.08,0.964514,0.854084,2,0.999756,1
beta,0.3,4096,163840,40,40,a6519e7ad986e70a,3cc2577994ca4d22,117.512,3213.38,3607.41,3319.36,3732.62,0.968073,0.86089,2,0.999756,1
beta,0.6,4096,163840,40,40,57f47d7debbf06a5,868ff8d273104fce,109.207,2421.78,2654.11,2505.73,2756.51,0.9665,0.87857,2,0.999756,1
beta,0.9,4096,163840,40,40,78ab1a2f01d9d580,9d7ad71131b38516,80.4904,1342.05,961.591,1263.81,1002.63,1.06191,1.33853,2,0.934244,1
beta,0.95,4096,163840,40,40,cee16baae1d3928f,404da7071485e192,66.8689,1037.24,492.398,920.777,506.409,1.12648,2.04822,2,0.7793,1
band,16,4096,65416,15.9707,15.9707,11621e80f91d6e3d,11621e80f91d6e3d,1.29267,245.941,59.252,118.396,40.7274,2.07728,6.0387,2,0.0072965,1
band,32,4096,130576,31.8789,31.8789,b8ab678d5a342b68,b8ab678d5a342b68,3.66579,480.422,71.0774,213.722,48.8103,2.24788,9.84262,2,0.0150203,1
band,64,4096,260128,63.5078,63.5078,00f2be06a0bb1137,00f2be06a0bb1137,12.2366,961.247,93.7147,416.978,63.9883,2.30527,15.0222,2,0.0302848,1
band,128,4096,516160,126.016,126.016,90eed9da083aa6f1,90eed9da083aa6f1,49.4345,1792.75,143.261,783.948,112.742,2.28682,15.9014,2,0.0600814,1
band,256,4096,1015936,248.031,248.031,954db46cdaaf8355,954db46cdaaf8355,178.922,3457.44,327.78,1520.34,291.001,2.27413,11.8812,2,0.116745,1
band,512,4096,1966336,480.062,480.062,08464a7b91198336,08464a7b91198336,637.273,6727.09,964.564,3012.28,950.796,2.23322,7.07521,2,0.218353,1
