kind,param,n,nnz,rho_A,rho_B,fingerprint_A,fingerprint_B,t_gustavson_ms,t_stateless_ms,t_stateless_gallop_ms,t_guarded_ms,t_guarded_gallop_ms,ratio_stateless_over_guarded,ratio_stateless_over_guarded_gallop,bound_1_plus_rhoB_over_rhoA,rewind_rate,correct_guarded_gallop
beta,0,2048,40960,20,20,e0fcaf2be45bb560,2f305b69144c1dd0,13.8447,432.896,504.303,464.097,537.797,0.932769,0.804942,2,0.999512,1
beta,0,2048,40960,20,20,6dcbf849fe922019,9b62b109e80141d8,14.5249,436.65,503.021,459.07,532.508,0.95116,0.819986,2,0.999512,1
beta,0,2048,40960,20,20,2ce9bca2c542234f,408dbc65de26404c,14.0844,431.719,504.575,457.87,529.87,0.942886,0.814764,2,0.999512,1
beta,0.3,2048,40960,20,20,4afebde53b0616b2,fa03ec527fe8e75f,13.5317,378.947,434.862,401.881,457.128,0.942933,0.828974,2,0.999505,1
beta,0.3,2048,40960,20,20,fe625ec15cf7bb72,59bf83260f8244f2,13.4906,379.406,427.847,399.144,457.219,0.95055,0.829813,2,0.999247,1
beta,0.3,2048,40960,20,20,152925ee1274c482,c61d431832be435e,13.6077,378.844,427.944,398.537,453.993,0.950587,0.834472,2,0.999511,1
beta,0.6,2048,40960,20,20,43f00c81ebdaf5d0,8f2e7e02ca145649,12.499,290.631,315.892,304.31,332.695,0.955049,0.873567,2,0.996091,1
beta,0.6,2048,40960,20,20,02b0784b8965e543,fbdaaf6f0eed963c,12.8543,288.729,310.186,299.626,329.473,0.963633,0.876337,2,0.997393,1
beta,0.6,2048,40960,20,20,e12a12ca55d0b73a,89a9f21a8149d10f,13.0584,290.035,314.912,304.73,332.552,0.951778,0.872149,2,0.996125,1
beta,0.9,2048,40960,20,20,6ef8fd410d36ea57,f6d4ea7f62d9877d,9.87754,152.678,99.766,136.163,101.524,1.12129,1.50386,2,0.766091,1
beta,0.9,2048,40960,20,20,8af93cdef5df0d2b,0da89fd8cc3dd25c,9.74408,150.188,100.017,136.707,101.937,1.09862,1.47334,2,0.76574,1
beta,0.9,2048,40960,20,20,78b2ae6d5a0bc5fc,8c4ab094900fc27e,9.60092,151.422,98.9601,136.351,100.786,1.11053,1.50241,2,0.770168,1
beta,0.95,2048,40960,20,20,b0306f93f98cd802,b35411a2313a460b,8.25163,112.375,50.9504,99.112,50.9382,1.13382,2.20611,2,0.630272,1
beta,0.95,2048,40960,20,20,dda172372a17c75d,24eae46a982219e2,8.31192,113.238,50.914,98.3539,51.0771,1.15133,2.217,2,0.64148,1
beta,0.95,2048,40960,20,20,b7b93fbb20b3ee0c,9ea73cd856c017b5,8.40188,113.429,50.8099,98.6039,50.6367,1.15035,2.24006,2,0.626534,1
band,16,2048,32648,15.9414,15.9414,3cca1f60d4a9f4dd,3cca1f60d4a9f4dd,0.699667,61.8126,15.1444,29.4594,9.70204,2.09823,6.37109,2,0.0145376,1
band,32,2048,65040,31.7578,31.7578,7801c4227e4380f0,7801c4227e4380f0,1.82275,121.187,18.2287,53.9084,13.2958,2.24802,9.11469,2,0.0298078,1
band,64,2048,129056,63.0156,63.0156,0aab9b887226f0b7,0aab9b887226f0b7,6.03596,236.631,26.6052,107.211,20.5397,2.20715,11.5206,2,0.0596159,1
band,128,2048,254016,124.031,124.031,9323cefdd89c30b1,9323cefdd89c30b1,24.1244,438.255,49.1367,193.107,41.4241,2.26949,10.5797,2,0.116302,1
band,256,2048,491648,240.062,240.062,0c86f878fad8b7b5,0c86f878fad8b7b5,83.7945,851.277,128.571,366.809,122.167,2.32076,6.96812,2,0.217956,1
band,512,2048,917760,448.125,448.125,b1a478e5b399ce56,b1a478e5b399ce56,274.232,1595.29,379.569,675.908,386.237,2.36021,4.13033,2,0.374389,1
