graph,ordering,n,nnz,avg_deg,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,120676,75.4516,40.1086,40.7541,49.8395,34.5323,38.3316,0.301332,0.0970578,13.1145,23.782,12,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,120676,70.4796,31.9758,31.1755,38.6221,30.4467,33.5519,0.340451,0.0632263,9.52512,22.5771,12,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,120676,76.6335,45.7487,45.8703,57.8805,34.1021,38.8233,0.442078,0.0970578,12.2432,24.052,12,1
data/email-Enron.txt,natural,36692,367662,10.0202,727044,63.6788,57.393,57.987,60.5659,14.234,16.6208,0.806213,0.761098,49.9426,12.6811,12,1
data/email-Enron.txt,rcm,36692,367662,10.0202,727044,92.26,70.6375,60.683,62.8581,14.4488,16.6769,0.846669,0.760282,30.6779,12.3675,12,1
data/email-Enron.txt,degree,36692,367662,10.0202,727044,90.049,73.5834,64.8673,67.0115,14.2368,16.2079,0.865289,0.761098,56.885,12.7662,12,1
gen:band:20000:16,natural,20000,639728,31.9864,2398640,10.481,7.44796,6.18687,7.99671,3.79329,4.56275,0.937477,0.875047,1.17392,2.43496,12,1
gen:band:20000:16,rcm,20000,639728,31.9864,2398640,10.5166,7.47158,6.17767,8.04125,3.79338,4.50788,0.937477,0.875047,1.17496,2.47771,12,1
gen:band:20000:16,degree,20000,639728,31.9864,2398640,10.5023,7.50283,6.2865,7.98454,3.76017,4.40092,0.93748,0.875047,1.39221,2.36367,12,1
gen:ba:20000:8,natural,20000,319032,15.9516,9894,23.0993,23.9164,23.66,25.193,6.14746,7.61558,0.874627,0.767393,17.667,1.96212,12,1
gen:ba:20000:8,rcm,20000,319032,15.9516,9894,22.4999,25.5301,22.7175,24.5745,6.36029,7.63363,0.890356,0.765777,3.47704,2.36479,12,1
gen:ba:20000:8,degree,20000,319032,15.9516,9894,22.6189,25.7243,24.328,26.4443,6.45012,8.32896,0.907664,0.767393,6.55987,2.19129,12,1
