graph,ordering,n,nnz,avg_deg,graph_fingerprint,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,c0d6898a551b5f71,120676,74.3446,39.0228,39.284,48.5703,34.0282,37.6098,0.301332,0.0970578,9.30762,22.4817,8,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,2b2dc7048d669b1d,120676,70.865,32.9006,33.0359,39.3296,31.56,33.3109,0.340433,0.0631623,7.92754,21.2568,8,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,f463019820d39d25,120676,72.5336,45.0535,46.3311,55.3713,32.8349,36.7013,0.442078,0.0970578,11.636,21.3248,8,1
data/email-Enron.txt,natural,36692,367662,10.0202,e020b121d9c2b4d3,727044,64.1568,61.6697,57.0499,59.1468,14.4275,16.6343,0.806213,0.761098,53.7809,14.0655,8,1
data/email-Enron.txt,rcm,36692,367662,10.0202,e38608b47f89367c,727044,90.4718,72.521,61.0375,63.9937,15.2794,16.8518,0.845184,0.760199,29.9754,14.2237,8,1
data/email-Enron.txt,degree,36692,367662,10.0202,74f834feab920ee2,727044,90.0849,78.9184,64.9144,66.7236,14.2555,16.5302,0.865289,0.761098,60.0192,13.8079,8,1
gen:band:20000:16,natural,20000,639728,31.9864,b30d25a2bad1087d,2398640,10.636,7.67825,6.46875,7.62533,4.58063,4.79454,0.937477,0.875047,1.55708,2.19588,8,1
gen:band:20000:16,rcm,20000,639728,31.9864,b30d25a2bad1087d,2398640,10.4435,7.59783,6.25288,7.47108,3.81775,4.65546,0.937477,0.875047,1.151,2.31396,8,1
gen:band:20000:16,degree,20000,639728,31.9864,ad0635daa09b2cdc,2398640,10.5136,7.23362,6.26479,7.65308,4.01029,4.59125,0.93748,0.875047,1.14204,2.12992,8,1
gen:ba:20000:8,natural,20000,319122,15.9561,fa917d3836e2f882,10435,22.9525,22.9358,23.8354,25.1423,6.13542,7.54763,0.874662,0.762247,18.8359,2.14825,8,1
gen:ba:20000:8,rcm,20000,319122,15.9561,111d911aeab252f1,10435,22.3737,25.0087,22.6946,24.7225,6.05342,7.85425,0.890236,0.760198,4.50696,2.13054,8,1
gen:ba:20000:8,degree,20000,319122,15.9561,48cbb89653758b18,10435,22.456,25.5735,24.3663,25.9218,6.21263,7.66946,0.90786,0.762247,8.18683,1.64279,8,1
