kind,param,n,nnz,rho_A,rho_B,fingerprint_A,fingerprint_B,t_gustavson_ms,t_stateless_ms,t_stateless_gallop_ms,t_guarded_ms,t_guarded_gallop_ms,ratio_stateless_over_guarded,ratio_stateless_over_guarded_gallop,bound_1_plus_rhoB_over_rhoA,rewind_rate,correct_guarded_gallop
beta,0,2048,40960,20,20,e0fcaf2be45bb560,2f305b69144c1dd0,136.784,2912.06,3810.68,3122.19,3951.85,0.932698,0.736885,2,0.999512,1
beta,0,2048,40960,20,20,6dcbf849fe922019,9b62b109e80141d8,136.639,2908.33,3809.72,3121.73,3953.88,0.931641,0.735563,2,0.999512,1
beta,0,2048,40960,20,20,2ce9bca2c542234f,408dbc65de26404c,136.778,2912.51,3815.71,3124.66,3974.25,0.932104,0.732846,2,0.999512,1
beta,0.3,2048,40960,20,20,4afebde53b0616b2,fa03ec527fe8e75f,132.122,2851.58,3553.26,3029.51,3670.36,0.941266,0.776921,2,0.999505,1
beta,0.3,2048,40960,20,20,fe625ec15cf7bb72,59bf83260f8244f2,132.383,2844.76,3544.01,3025.83,3686.52,0.94016,0.771666,2,0.999247,1
beta,0.3,2048,40960,20,20,152925ee1274c482,c61d431832be435e,132.995,2847.71,3551.45,3026.43,3667.49,0.940944,0.776474,2,0.999511,1
beta,0.6,2048,40960,20,20,43f00c81ebdaf5d0,8f2e7e02ca145649,125.769,2679.2,2946.93,2884.21,3000.66,0.92892,0.892869,2,0.996091,1
beta,0.6,2048,40960,20,20,02b0784b8965e543,fbdaaf6f0eed963c,125.935,2676.68,2942.4,2775.26,2997.27,0.964477,0.893038,2,0.997393,1
beta,0.6,2048,40960,20,20,e12a12ca55d0b73a,89a9f21a8149d10f,125.662,2682.73,2953.68,2779.12,3005.57,0.965317,0.892587,2,0.996125,1
beta,0.9,2048,40960,20,20,6ef8fd410d36ea57,f6d4ea7f62d9877d,112.251,2027.11,1379.94,1882.83,1318.42,1.07663,1.53753,2,0.766091,1
beta,0.9,2048,40960,20,20,8af93cdef5df0d2b,0da89fd8cc3dd25c,112.123,2022.93,1382.02,1888.01,1324.64,1.07146,1.52715,2,0.76574,1
beta,0.9,2048,40960,20,20,78b2ae6d5a0bc5fc,8c4ab094900fc27e,112.179,2038.87,1383.87,1893.8,1320.73,1.0766,1.54374,2,0.770168,1
beta,0.95,2048,40960,20,20,b0306f93f98cd802,b35411a2313a460b,106.488,1717.76,892.482,1576.58,845.357,1.08955,2.03199,2,0.630272,1
beta,0.95,2048,40960,20,20,dda172372a17c75d,24eae46a982219e2,106.453,1707.04,886.133,1561.54,840.818,1.09318,2.03021,2,0.64148,1
beta,0.95,2048,40960,20,20,b7b93fbb20b3ee0c,9ea73cd856c017b5,106.605,1729.76,892.812,1563.13,838.963,1.1066,2.06178,2,0.626534,1
band,16,2048,32648,15.9414,15.9414,3cca1f60d4a9f4dd,3cca1f60d4a9f4dd,17.8869,1034.07,462.02,597.858,330.156,1.72962,3.13206,2,0.0145376,1
band,32,2048,65040,31.7578,31.7578,7801c4227e4380f0,7801c4227e4380f0,57.7924,1934.81,592.219,1044.47,417.339,1.85244,4.63605,2,0.0298078,1
band,64,2048,129056,63.0156,63.0156,0aab9b887226f0b7,0aab9b887226f0b7,202.357,3789.58,877.831,1996.78,651.787,1.89784,5.81414,2,0.0596159,1
