graph,ordering,n,nnz,avg_deg,graph_fingerprint,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,c0d6898a551b5f71,120676,799.259,452.86,502.534,638.013,579.714,744.634,0.301332,0.0970578,375.33,621.191,2,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,2b2dc7048d669b1d,120676,931.79,418.971,472.956,612.11,565.804,746.853,0.340433,0.0631623,376.729,628.428,2,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,f463019820d39d25,120676,1203.24,570.87,617.442,806.364,584.198,751.808,0.442078,0.0970578,491.147,625.414,2,1
data/email-Enron.txt,natural,36692,367662,10.0202,e020b121d9c2b4d3,727044,1213.27,541.112,391.026,418.059,108.415,120.502,0.806213,0.761098,413.397,116.933,2,1
data/email-Enron.txt,rcm,36692,367662,10.0202,e38608b47f89367c,727044,1245.27,712.62,396.533,413.958,108.428,120.328,0.845184,0.760199,390.995,117.867,2,1
data/email-Enron.txt,degree,36692,367662,10.0202,74f834feab920ee2,727044,1363.22,747.044,466.26,488.702,108.445,120.417,0.865289,0.761098,483.379,116.978,2,1
gen:band:20000:16,natural,20000,639728,31.9864,b30d25a2bad1087d,2398640,310.168,164.993,165.319,180.439,88.5666,105.289,0.937477,0.875047,90.9436,62.5188,2,1
gen:band:20000:16,rcm,20000,639728,31.9864,b30d25a2bad1087d,2398640,310.199,165.031,165.378,180.54,88.5129,105.335,0.937477,0.875047,91.0829,62.4904,2,1
gen:band:20000:16,degree,20000,639728,31.9864,ad0635daa09b2cdc,2398640,309.866,165.044,165.457,180.419,88.5909,105.318,0.93748,0.875047,90.9813,62.5038,2,1
gen:ba:20000:8,natural,20000,319122,15.9561,fa917d3836e2f882,10435,567.65,227.354,214.22,237.216,58.0741,70.2666,0.874662,0.762247,228.235,45.5579,2,1
gen:ba:20000:8,rcm,20000,319122,15.9561,111d911aeab252f1,10435,527.04,229.479,184.676,203.168,57.9938,70.591,0.890236,0.760198,113.748,45.6264,2,1
gen:ba:20000:8,degree,20000,319122,15.9561,48cbb89653758b18,10435,564.823,238.366,207.096,222.696,57.939,70.0208,0.90786,0.762247,146.156,46.6781,2,1
